Rule,Time,Roboustness
'out = (spd < 5);',0.0,5.0
'out = (dst > 1);',0.0,5.0
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',0,inf
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',0,inf
'out = (spd < 5);',1.0,4.0
'out = (dst > 1);',1.0,3.0
'out = (spd < 5);',2.0,3.0
'out = (dst > 1);',2.0,0.5
'out = (dst > 1);',3.0,2.0
'out = (spd < 5);',3.0,1.0
'out = (dst > 1);',4.0,0.10000000000000009
'out = (spd < 5);',4.0,0.5
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',5.0,1.0
'out = (dst > 1);',5.0,-0.4
'out = (spd < 5);',5.0,0.7999999999999998
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',5.0,0.7999999999999998
'out = (spd < 5);',6.0,0.2999999999999998
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',6.0,inf
'out = (dst > 1);',6.0,-0.09999999999999998
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',6.0,-4.5
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',7.0,-1.4000000000000004
'out = (spd < 5);',7.0,-1.4000000000000004
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',7.0,-3.0
'out = (dst > 1);',7.0,0.30000000000000004
'out = (spd < 5);',8.0,-0.20000000000000018
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',8.0,-0.20000000000000018
'out = (dst > 1);',8.0,0.3999999999999999
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',8.0,2.0
'out = (spd < 5);',9.0,0.09999999999999964
'out = (dst > 1);',9.0,-0.6
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',9.0,-0.2
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',9.0,0.09999999999999964
'out = (dst > 1);',10.0,0.19999999999999996
'out = (spd < 5);',10.0,0.2999999999999998
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',10.0,0.2999999999999998
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',10.0,0.8
'out = (spd < 5);',11.0,-0.7999999999999998
'out = (dst > 1);',11.0,1.7000000000000002
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',11.0,-0.7999999999999998
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',11.0,1.3
