Rule,Time_of_Violation,Severity
'out = (dst > 1);',5.0,-0.4
'out = (dst > 1);',6.0,-0.09999999999999998
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',6.0,-4.5
'out = (spd < 5);',7.0,-1.4000000000000004
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',7.0,-1.4000000000000004
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',7.0,-3.0
'out = (spd < 5);',8.0,-0.20000000000000018
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',8.0,-0.20000000000000018
'out = (dst > 1);',9.0,-0.6
'out = ((srf < 0) implies eventually[0:5] (srf > 0));',9.0,-0.2
'out = (spd < 5);',11.0,-0.7999999999999998
'out = ((sdst > 0) implies eventually[0:5] (spd < 5));',11.0,-0.7999999999999998
